Unnamed: 0,userName,Title,Review,Rating,cleaned_Review,Have assessablity Issue,Assessability Issue Type
,AllykatTX,LYSN allows unchecked bullying & harassment,"When I originally joined the LYSN app I expected to have a good time interacting with my fav kpop group, EXO. LYSN CLAIMS that bullying and harassment of artists will not be tolerated on their app, but they are not enforcing their own policies. In the last few months since Kim Jongdae announced his engagement, antis have relentlessly spammed EXOâ€™s community board petitioning for him to leave the group. These toxic people have left violent threats for him and his family members. Yet, LYSN has allowed these people who spew their toxic words on the board to remain for months now. Star chatting with another EXO member, Kai, was recently announced and a person who has been repeatedly posting toxic posts aimed at Chen is now boasting on Twitter that theyâ€™ve been approved to be one of the people chatting with Kai. This is absolutely ridiculous. LYSN should be BANNING all of the people who are harassing artists on the app. The majority of those posting toxic content are â€˜ACEâ€™ members who have paid for extra content which means yâ€™all know their information.",1,when i originally joined the lysn app i expected to have a good time interacting with my fav kpop group exo lysn claim that bullying and harassment of artist will not be tolerated on their app but they are not enforcing their own policy in the last few month since kim jongdae announced his engagement anti have relentlessly spammed exo s community board petitioning for him to leave the group these toxic people have left violent threat for him and his family member yet lysn ha allowed these people who spew their toxic word on the board to remain for month now star chatting with another exo member kai wa recently announced and a person who ha been repeatedly posting toxic post aimed at chen is now boasting on twitter that they ve been approved to be one of the people chatting with kai this is absolutely ridiculous lysn should be banning all of the people who are harassing artist on the app the majority of those posting toxic content are ace member who have paid for extra content which mean y all know their information,Yes,Navigation and Interaction Problems (NAV)
,starry_sara,Filled with toxic and abusive comments,"Even though the companyâ€™s policy states they will not tolerate offensive comments or bullyingâ€” This app is FILLED with harassment of artists, along with toxic and abusive comments. More specifically, harassment targeting EXOâ€™s Chen. In January of this year, he announced heâ€™s getting married to his girlfriend, and theyâ€™re having a baby. Most of the EXO-Ls were happy to hear the news! But, the few fans that were not happy started harassing Chen through the Lysn app. Commenting the most disrespectful things: Like how Chen should leave EXO because heâ€™s getting married, how they wonâ€™t support EXO as long as Chenâ€™s in the group, or how that he disrespected the other members of EXO and the EXO-L by getting married (um... WHAT...?), etc.. 
 And, despite all this hate, Lysn has done NOTHING to remove those comments or those hateful people from the app... 
 So, me and the rest of the (real) fans are downright confused by this, and disappointed beyond words... Please, listen. Seriously, FIX YOUR APP AND POLICIES.",1,even though the company s policy state they will not tolerate offensive comment or bullying this app is filled with harassment of artist along with toxic and abusive comment more specifically harassment targeting exo s chen in january of this year he announced he s getting married to his girlfriend and they re having a baby most of the exols were happy to hear the news but the few fan that were not happy started harassing chen through the lysn app commenting the most disrespectful thing like how chen should leave exo because he s getting married how they won t support exo a long a chen s in the group or how that he disrespected the other member of exo and the exol by getting married um what etc and despite all this hate lysn ha done nothing to remove those comment or those hateful people from the app so me and the rest of the real fan are downright confused by this and disappointed beyond word please listen seriously fix your app and policy,Yes,Navigation and Interaction Problems (NAV)
,dayflan,Toxic communities,"At first, I was excited about downloading the app because I support several artists. But I found that one of the communities is being flooded with death threats, racism, bullying, and degrading comments not only towards the artist but to the fans who support the artist. I have personally reported these individuals multiple times, but I have seen no actions taken to prevent them from remaining in the app. The app promised that these behaviors would not be tolerated, but yet I keep seeing the same individuals continuing to leave such awful and corrupted comments. It has been months and no action has been taken to provide a healthy fan community. I had to stop opening the app because it damaged my mental and physical health. Please go through your own policies and deny these individuals from using your app. Actual fans of the artist are unable to connect and communicate because of these individuals.",1,at first i wa excited about downloading the app because i support several artist but i found that one of the community is being flooded with death threat racism bullying and degrading comment not only towards the artist but to the fan who support the artist i have personally reported these individual multiple time but i have seen no action taken to prevent them from remaining in the app the app promised that these behavior would not be tolerated but yet i keep seeing the same individual continuing to leave such awful and corrupted comment it ha been month and no action ha been taken to provide a healthy fan community i had to stop opening the app because it damaged my mental and physical health please go through your own policy and deny these individual from using your app actual fan of the artist are unable to connect and communicate because of these individual,Yes,Navigation and Interaction Problems (NAV)
,myhomiejesus,Honestlyâ€¦,"I see a lot of 5 star reviews of people saying theyâ€™re only doing it bc Jisung said to â€œshow loveâ€ to the app but if Iâ€™m being honest, itâ€™s not very good for international fans. Thereâ€™s still a character limit for texts (I canâ€™t even type half a sentence before I hit the limit) and obviously the screenshot disabling function is a bit annoying. I understand that all message content from artists are paid content but I mean paying for bubble in general is already a bit ridiculous. The app basically is like free platforms like Instagram, Twitter, and Weibo just disguised as a messaging app. Not to mention some community boards are just straight up toxic and sometimes have bullying and harassment comments on there. I mean if weâ€™re gonna rate this app at least be honest about it.",1,i see a lot of star review of people saying they re only doing it bc jisung said to show love to the app but if i m being honest it s not very good for international fan there s still a character limit for text i can t even type half a sentence before i hit the limit and obviously the screenshot disabling function is a bit annoying i understand that all message content from artist are paid content but i mean paying for bubble in general is already a bit ridiculous the app basically is like free platform like instagram twitter and weibo just disguised a a messaging app not to mention some community board are just straight up toxic and sometimes have bullying and harassment comment on there i mean if we re gonna rate this app at least be honest about it,Yes,Input and Control Issues (INPUT)
,@junmyeonsoup,"Despicable, toxic community for artist and fans","I expected this app to be a good time for me to share with my favorite group EXO and the exols who love them. Instead, it has been used to not only demean the actual EXO members, Kim Jongdae specifically, and to ostracize those in the fandom who are not ace members (which is the majority, since we are international fans and have no need for the ace membership perks). The fact that this app has been a breeding ground for the toxic fans to discuss and carry out their harassment strategies on Kim Jongdae of EXO, even so far as defaming him in his hometown, and those in charge of the app have done nothing to assuage this behavior proves to me this app needs to be taken down. This is a manâ€™s life, the lives of his wife and child are at stake, and itâ€™s unacceptable.",1,i expected this app to be a good time for me to share with my favorite group exo and the exols who love them instead it ha been used to not only demean the actual exo member kim jongdae specifically and to ostracize those in the fandom who are not ace member which is the majority since we are international fan and have no need for the ace membership perk the fact that this app ha been a breeding ground for the toxic fan to discus and carry out their harassment strategy on kim jongdae of exo even so far a defaming him in his hometown and those in charge of the app have done nothing to assuage this behavior prof to me this app need to be taken down this is a man s life the life of his wife and child are at stake and it s unacceptable,Yes,Navigation and Interaction Problems (NAV)
,CrileySmiley,You have guidelines. Please enforce them,"An artist on your platform has been receiving death threats, sexual harassment, target of false information, and even has had his personal info leaked on your platform. Last I checked, this platform has rules and guidelines, as well as the personal information of its consumers. Use it.
 Your consumers are committing a crime every day, yet you have failed to implement your own guidelines by putting them on suspension or even cancelling their account.
 If I could give this app a truthful rating it would be at a zero for itâ€™s managementâ€™s negligence in protecting their consumerâ€™s rights, as well as refusing to take action when faced with actual crimes that violate a private citizenâ€™s privacy (the artistâ€™s fiancÃ©e)",1,an artist on your platform ha been receiving death threat sexual harassment target of false information and even ha had his personal info leaked on your platform last i checked this platform ha rule and guideline a well a the personal information of it consumer use it your consumer are committing a crime every day yet you have failed to implement your own guideline by putting them on suspension or even cancelling their account if i could give this app a truthful rating it would be at a zero for it s management s negligence in protecting their consumer s right a well a refusing to take action when faced with actual crime that violate a private citizen s privacy the artist s fianc e,Yes,Navigation and Interaction Problems (NAV)
,Tay Quinn,Comments - Community Guidelines,"While this is a great app for many to interact with their artists and many do use it, I am appalled by how hate comments are still allowed within the community. This should be a safe space for both artists and fans. Yet when it is brought to the forefront nothing is being handled. By doing nothing to stop this it shows me that hate speech, racism, slander, death threats and so much more are allowed within this community and I cannot nor will I stand by that. I deleted the app and will continuing giving bad ratings until something is done about this very serious issue.",1,while this is a great app for many to interact with their artist and many do use it i am appalled by how hate comment are still allowed within the community this should be a safe space for both artist and fan yet when it is brought to the forefront nothing is being handled by doing nothing to stop this it show me that hate speech racism slander death threat and so much more are allowed within this community and i cannot nor will i stand by that i deleted the app and will continuing giving bad rating until something is done about this very serious issue,Yes,Navigation and Interaction Problems (NAV)
,wrenchromatic,Bans the word â€œgayâ€,"I learned today that this app bans the use of the word â€œgayâ€ in chats. Even if itâ€™s just the three letters g-a-y in sequence in another word. For example, I found this out when I tried to type â€œInkigayoâ€ in a message.
 
 I started looking for an explanation in the appâ€™s policies and found in the â€œyouth protection policyâ€ that certain words are banned if they are considered â€œharmful to youth.â€ I knew that Korea was homophobic, but banning both artists and fans from even saying â€œgayâ€ on the basis that itâ€™s harmful to youth? Thatâ€™s some next level trash reasoning. I donâ€™t intend to continue paying for this app.",1,i learned today that this app ban the use of the word gay in chat even if it s just the three letter gay in sequence in another word for example i found this out when i tried to type inkigayo in a message i started looking for an explanation in the app s policy and found in the youth protection policy that certain word are banned if they are considered harmful to youth i knew that korea wa homophobic but banning both artist and fan from even saying gay on the basis that it s harmful to youth that s some next level trash reasoning i don t intend to continue paying for this app,Yes,Compatibility with Assistive Technologies (CAT)
,Griselle1983,Admins get paid for this?,"How is it possible to let hate and filth run rampant in the posts, which is clearly against the terms and conditions? Anyone leaving hateful comments should be kicked out and IP banned. We are constantly reporting and nothing is done. Itâ€™s really disgusting and harmful to both fans and idols who have to see this kind of harassment. Not to mention international fans donâ€™t truly have any benefit by becoming ace members, but thatâ€™s a story for another day. Iâ€™m an ace member but I donâ€™t see myself renewing if the moderators and creators of this app do not fix what has become a toxic waste hole.",1,how is it possible to let hate and filth run rampant in the post which is clearly against the term and condition anyone leaving hateful comment should be kicked out and ip banned we are constantly reporting and nothing is done it s really disgusting and harmful to both fan and idol who have to see this kind of harassment not to mention international fan don t truly have any benefit by becoming ace member but that s a story for another day i m an ace member but i don t see myself renewing if the moderator and creator of this app do not fix what ha become a toxic waste hole,Yes,Navigation and Interaction Problems (NAV)
,averiesketch,does not uphold its community guidelines,"Itâ€™s rules clearly state not to disrespect idols however the app itself takes no action to uphold these rules. A countless number of profiles that continually insult, ridicule, spread malicious rumors and even threaten and leak private information of idols are still allowed to still post. One such profile that has done such acts even was allowed to take part of a specula chatting event with an idol. Why should fans pay for something that continuously allows their idols to be ridiculed and threatened on a platform without retaliation or consequences for breaking the community guidelines.",1,it s rule clearly state not to disrespect idol however the app itself take no action to uphold these rule a countless number of profile that continually insult ridicule spread malicious rumor and even threaten and leak private information of idol are still allowed to still post one such profile that ha done such act even wa allowed to take part of a speculum chatting event with an idol why should fan pay for something that continuously allows their idol to be ridiculed and threatened on a platform without retaliation or consequence for breaking the community guideline,Yes,Navigation and Interaction Problems (NAV)
,lostgirly,enforce community guidelines !!,"very slow and can barely handle large traffic, doesnâ€™t adhere to their own rules of safety. Chen from exo has been consistently harassed by supposed â€œfansâ€ who are leaking his and his familyâ€™s personal information and sending death threats and other horrible messages to him. the fact that this has been allowed to continue without their immediate removal does not make the experience of using this app pleasant",1,very slow and can barely handle large traffic doesn t adhere to their own rule of safety chen from exo ha been consistently harassed by supposed fan who are leaking his and his family s personal information and sending death threat and other horrible message to him the fact that this ha been allowed to continue without their immediate removal doe not make the experience of using this app pleasant,Yes,UI Accessibility Issues (UI)
,Kay the Misfit,Buggy,"So Iâ€™ve had this app for a minute and have never been able to have a profile picture or a bannerðŸ¥´. Every time I try, the app just freezes and crashes. I really donâ€™t understand why that is? I contacted support to no avail. Also, the character limit? TRASH. Please fix these issues or at least respond to my support email. Thanks...",1,so i ve had this app for a minute and have never been able to have a profile picture or a banner every time i try the app just freeze and crash i really don t understand why that is i contacted support to no avail also the character limit trash please fix these issue or at least respond to my support email thanks,Yes,UI Accessibility Issues (UI)
,perccccc,Can barely write anything,I just joined without reading the reviews now I have to keep this for a month too. You canâ€™t really communicate with the artist and it makes it hard to reply too. The English language and Korean language are very different so 30 characters arenâ€™t enough to let out a sentence.,1,i just joined without reading the review now i have to keep this for a month too you can t really communicate with the artist and it make it hard to reply too the english language and korean language are very different so character aren t enough to let out a sentence,Yes,Input and Control Issues (INPUT)
